med_rep,cell,Medium,Replicate,rep_medium,diameter,Circularity,meanCW,meanViability,cooX,cooY,huang,cellalive
Condition1-n1,n1__Condition1-648,Condition1,n1,n1__Condition1,17.8253536262923,0.944,190.689,1584.288,2227.091,1395.055,595.792219607843,yes
Condition1-n1,n1__Condition1-651,Condition1,n1,n1__Condition1,17.6435986812813,0.991,156.249,1015.353,514.344,1404.466,595.792219607843,yes
Condition1-n1,n1__Condition1-654,Condition1,n1,n1__Condition1,28.5049686176446,1.007,251.462,2094.199,1059.515,1411.93,595.792219607843,yes
Condition1-n1,n1__Condition1-655,Condition1,n1,n1__Condition1,21.6555764867418,0.989,344.087,1372.225,286.484,1414.375,595.792219607843,yes
Condition1-n1,n1__Condition1-657,Condition1,n1,n1__Condition1,20.15601861293,0.941,211.083,2188.835,2353.255,1419.159,595.792219607843,yes
Condition1-n1,n1__Condition1-664,Condition1,n1,n1__Condition1,16.4683985814908,0.927,240.284,1791.151,1648.881,1440.206,595.792219607843,yes
Condition1-n1,n1__Condition1-665,Condition1,n1,n1__Condition1,20.15601861293,1.001,164.471,750.976,2486.697,1439.837,595.792219607843,yes
Condition1-n1,n1__Condition1-669,Condition1,n1,n1__Condition1,18.7038889121595,1.009,151.22,810.582,2330.447,1444.543,595.792219607843,yes
Condition1-n1,n1__Condition1-67,Condition1,n1,n1__Condition1,25.5529627331762,0.985,172.794,1679.7,694.932,135.157,595.792219607843,yes
Condition1-n1,n1__Condition1-674,Condition1,n1,n1__Condition1,14.0231420358269,0.971,174.441,1344.463,153.751,1448.794,595.792219607843,yes
Condition1-n1,n1__Condition1-675,Condition1,n1,n1__Condition1,20.3183566548837,0.981,251.274,1750.27,177.763,1451.027,595.792219607843,yes
Condition1-n1,n1__Condition1-677,Condition1,n1,n1__Condition1,18.5415508702058,0.994,220.468,2200.719,149.922,1470.99,595.792219607843,yes
Condition1-n1,n1__Condition1-678,Condition1,n1,n1__Condition1,20.6624496418484,1.01,168.157,1584.854,1499.222,1474.884,595.792219607843,yes
Condition1-n1,n1__Condition1-679,Condition1,n1,n1__Condition1,29.2883292475429,0.995,160.48,635.072,349.494,1480.076,595.792219607843,yes
Condition1-n1,n1__Condition1-684,Condition1,n1,n1__Condition1,15.5898632956235,0.96,153.476,1559.655,2351.836,1486.88,595.792219607843,yes
Condition1-n1,n1__Condition1-686,Condition1,n1,n1__Condition1,18.6564607391182,0.96,209.74,2192.859,1557.684,1489.679,595.792219607843,yes
Condition1-n1,n1__Condition1-689,Condition1,n1,n1__Condition1,25.5055345601348,1.001,157.937,1652.319,606.504,1494.679,595.792219607843,yes
Condition1-n1,n1__Condition1-69,Condition1,n1,n1__Condition1,15.4275252536698,0.982,203.58,1813.422,1500.52,131.101,595.792219607843,yes
Condition1-n1,n1__Condition1-693,Condition1,n1,n1__Condition1,16.6501535265017,0.971,179.052,1451.574,341.057,1499.871,595.792219607843,yes
Condition1-n1,n1__Condition1-696,Condition1,n1,n1__Condition1,19.6021594109702,0.971,183.884,1714.855,534.463,1507.984,595.792219607843,yes
Condition1-n1,n1__Condition1-699,Condition1,n1,n1__Condition1,20.3183566548837,1.006,245.579,2686.044,1743.9,1511.229,595.792219607843,yes
Condition1-n1,n1__Condition1-701,Condition1,n1,n1__Condition1,22.2769173845726,1,232.859,1363.179,2294.264,1513.5,595.792219607843,yes
Condition1-n1,n1__Condition1-702,Condition1,n1,n1__Condition1,18.5892973531334,0.97,163.982,1667.355,255.387,1513.176,595.792219607843,yes
Condition1-n1,n1__Condition1-705,Condition1,n1,n1__Condition1,14.8065026657252,0.998,157.723,1426.765,417.316,1525.183,595.792219607843,yes
