med_rep,cell,Medium,Replicate,rep_medium,diameter,Circularity,meanCW,meanViability,cooX,cooY,huang,cellalive
Condition1-n3,n3__Condition1-838,Condition1,n3,n3__Condition1,22.5064188125111,0.988,644.387,234.602,1197.106,1801.987,598.105352941177,no
Condition1-n3,n3__Condition1-839,Condition1,n3,n3__Condition1,16.8322267813989,1.011,210.869,320.788,2190.746,1800.689,598.105352941177,no
Condition1-n3,n3__Condition1-84,Condition1,n3,n3__Condition1,17.0894211694354,0.995,1027.245,266.856,2451.65,162.253,598.105352941177,no
Condition1-n3,n3__Condition1-840,Condition1,n3,n3__Condition1,14.7587561827976,0.968,850.018,256.221,1859.625,1800.664,598.105352941177,no
Condition1-n3,n3__Condition1-841,Condition1,n3,n3__Condition1,13.8608039938732,0.985,972.159,256.929,2529.207,1805.232,598.105352941177,no
Condition1-n3,n3__Condition1-842,Condition1,n3,n3__Condition1,15.3129336946436,0.963,502.017,235.359,81.451,1807.504,598.105352941177,no
Condition1-n3,n3__Condition1-843,Condition1,n3,n3__Condition1,20.8247876838021,0.984,537.398,260.941,487.409,1809.451,598.105352941177,no
Condition1-n3,n3__Condition1-844,Condition1,n3,n3__Condition1,15.0360040936637,1.006,536.958,267.342,2458.14,1807.828,598.105352941177,no
Condition1-n3,n3__Condition1-845,Condition1,n3,n3__Condition1,16.4881337944342,0.98,698.736,240.449,1103.648,1808.477,598.105352941177,no
Condition1-n3,n3__Condition1-846,Condition1,n3,n3__Condition1,27.4640952898236,0.965,699.643,265.444,2059.646,1814.643,598.105352941177,no
Condition1-n3,n3__Condition1-847,Condition1,n3,n3__Condition1,25.6678726020885,0.949,649.864,253.44,2333.617,1814.206,598.105352941177,no
Condition1-n3,n3__Condition1-848,Condition1,n3,n3__Condition1,16.6501535265017,0.99,203.08,249.166,1066.654,1811.398,598.105352941177,no
Condition1-n3,n3__Condition1-849,Condition1,n3,n3__Condition1,14.2048969808378,1.023,665.982,239.034,99.948,1810.424,598.105352941177,no
Condition1-n3,n3__Condition1-85,Condition1,n3,n3__Condition1,15.7241900675931,0.957,198.735,1464.814,2570.744,162.253,598.105352941177,yes
Condition1-n3,n3__Condition1-850,Condition1,n3,n3__Condition1,18.0351198412874,0.976,222.841,1003.85,211.254,1812.696,598.105352941177,yes
Condition1-n3,n3__Condition1-851,Condition1,n3,n3__Condition1,19.2774833270627,0.977,263.241,1306.084,972.223,1815.292,598.105352941177,yes
Condition1-n3,n3__Condition1-852,Condition1,n3,n3__Condition1,13.3066264820272,1,158.748,282.567,1602.091,1813.994,598.105352941177,no
Condition1-n3,n3__Condition1-853,Condition1,n3,n3__Condition1,24.1008330324057,0.982,161.604,356.839,1269.97,1819.61,598.105352941177,no
Condition1-n3,n3__Condition1-854,Condition1,n3,n3__Condition1,28.6669883497122,1,305.436,2235.965,826.195,1824.054,598.105352941177,yes
Condition1-n3,n3__Condition1-855,Condition1,n3,n3__Condition1,15.4752717365974,0.956,825.686,255.396,574.377,1819.835,598.105352941177,no
Condition1-n3,n3__Condition1-856,Condition1,n3,n3__Condition1,12.1989080781076,0.969,156.115,325.424,1038.747,1815.941,598.105352941177,no
Condition1-n3,n3__Condition1-857,Condition1,n3,n3__Condition1,13.8608039938732,0.983,393.29,268.841,408.23,1822.107,598.105352941177,no
Condition1-n3,n3__Condition1-858,Condition1,n3,n3__Condition1,12.6381757210412,1.011,697.611,268.864,1808.153,1822.756,598.105352941177,no
Condition1-n3,n3__Condition1-859,Condition1,n3,n3__Condition1,17.041992996394,1.014,1017.674,266.985,799.261,1826.65,598.105352941177,no
Condition1-n3,n3__Condition1-86,Condition1,n3,n3__Condition1,18.5415508702058,0.992,733.247,271.03,456.581,164.201,598.105352941177,no
Condition1-n3,n3__Condition1-860,Condition1,n3,n3__Condition1,18.9333903400981,0.963,645.161,263.534,929.55,1832.004,598.105352941177,no
Condition1-n3,n3__Condition1-861,Condition1,n3,n3__Condition1,15.0834322667051,0.978,1168.441,260.077,1891.227,1831.193,598.105352941177,no
Condition1-n3,n3__Condition1-862,Condition1,n3,n3__Condition1,18.7513170852009,0.991,1141.329,268.652,530.958,1833.335,598.105352941177,no
Condition1-n3,n3__Condition1-863,Condition1,n3,n3__Condition1,18.6564607391182,1.006,531.349,240.305,2199.833,1838.656,598.105352941177,no
Condition1-n3,n3__Condition1-864,Condition1,n3,n3__Condition1,14.1377335948531,0.971,521.135,263.856,1804.259,1838.007,598.105352941177,no
Condition1-n3,n3__Condition1-865,Condition1,n3,n3__Condition1,16.0962943245419,1.006,374.521,242.082,2157.322,1840.279,598.105352941177,no
Condition1-n3,n3__Condition1-866,Condition1,n3,n3__Condition1,22.7636132005476,1.005,170.848,282.673,956.647,1844.173,598.105352941177,no
Condition1-n3,n3__Condition1-867,Condition1,n3,n3__Condition1,15.2457703086588,0.99,162.881,618.445,681.789,1840.928,598.105352941177,yes
Condition1-n3,n3__Condition1-868,Condition1,n3,n3__Condition1,23.9388133003382,0.998,156.389,1167.175,1761.748,1845.471,598.105352941177,yes
Condition1-n3,n3__Condition1-869,Condition1,n3,n3__Condition1,18.7038889121595,0.987,848.575,248.919,2466.123,1843.459,598.105352941177,no
Condition1-n3,n3__Condition1-87,Condition1,n3,n3__Condition1,12.1989080781076,0.984,726.011,270.414,728.843,163.227,598.105352941177,no
Condition1-n3,n3__Condition1-870,Condition1,n3,n3__Condition1,23.270044229466,0.981,361.47,251.59,663.407,1847.227,598.105352941177,no
Condition1-n3,n3__Condition1-871,Condition1,n3,n3__Condition1,16.4206520985632,0.981,166.205,1507.337,2529.207,1843.524,598.105352941177,yes
Condition1-n3,n3__Condition1-872,Condition1,n3,n3__Condition1,11.5775671802768,0.992,696.137,272.077,2008.698,1841.902,598.105352941177,no
Condition1-n3,n3__Condition1-873,Condition1,n3,n3__Condition1,13.2591983089858,1.001,491.832,261.174,1021.872,1845.471,598.105352941177,no
Condition1-n3,n3__Condition1-874,Condition1,n3,n3__Condition1,10.9087981094047,0.96,455.437,268.423,2381.557,1844.822,598.105352941177,no
